"";"municipality";"municipality_id";"state";"population";"account_type";"account";"amount";"i.municipality";"i.municipality_id";"i.state";"i.population";"i.account_type"
"750";"Prefeitura Municipal de Ibiquera - BA";2912608;"BA";4207;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";500;"Prefeitura Municipal de Mirandiba - PE";2609303;"PE";15185;"31/12/2018"
"751";"Prefeitura Municipal de Felício dos Santos - MG";3125408;"MG";5012;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";500;"Prefeitura Municipal de Mirandiba - PE";2609303;"PE";15185;"31/12/2018"
"752";"Prefeitura Municipal de Serra - ES";3205002;"ES";494109;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";500;"Prefeitura Municipal de Mirandiba - PE";2609303;"PE";15185;"31/12/2018"
"753";"Prefeitura Municipal de Angatuba - SP";3502200;"SP";24400;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";500;"Prefeitura Municipal de Mirandiba - PE";2609303;"PE";15185;"31/12/2018"
"754";"Prefeitura Municipal de Quintana - SP";3542008;"SP";6484;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";500;"Prefeitura Municipal de Mirandiba - PE";2609303;"PE";15185;"31/12/2018"
"755";"Prefeitura Municipal de Derrubadas - RS";4306320;"RS";3102;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";500;"Prefeitura Municipal de Mirandiba - PE";2609303;"PE";15185;"31/12/2018"
"756";"Prefeitura Municipal de Alto Alegre do Pindaré - MA";2100477;"MA";31303;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";4500;"Prefeitura Municipal de Tracunhaém - PE";2615508;"PE";13643;"31/12/2018"
"757";"Prefeitura Municipal de Tremembé - SP";3554805;"SP";45414;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";4500;"Prefeitura Municipal de Tracunhaém - PE";2615508;"PE";13643;"31/12/2018"
"758";"Prefeitura Municipal de São Bento do Sapucaí - SP";3548609;"SP";10880;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";7500;"Prefeitura Municipal de América Dourada - BA";2901155;"BA";16781;"31/12/2018"
"759";"Prefeitura Municipal de Cunha Porã - SC";4204707;"SC";11020;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";7500;"Prefeitura Municipal de América Dourada - BA";2901155;"BA";16781;"31/12/2018"
"760";"Prefeitura Municipal de Frei Rogério - SC";4205555;"SC";2197;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";7500;"Prefeitura Municipal de América Dourada - BA";2901155;"BA";16781;"31/12/2018"
"761";"Prefeitura Municipal de Floresta - PE";2605707;"PE";32152;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";18000;"Prefeitura Municipal de Brotas de Macaúbas - BA";2904506;"BA";11049;"31/12/2018"
"762";"Prefeitura Municipal de Campo Azul - MG";3111150;"MG";3863;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";10000;"Prefeitura Municipal de Ibiassucê - BA";2912004;"BA";10337;"31/12/2018"
"763";"Prefeitura Municipal de Gavião Peixoto - SP";3516853;"SP";4714;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";10000;"Prefeitura Municipal de Ibiassucê - BA";2912004;"BA";10337;"31/12/2018"
"764";"Prefeitura Municipal de Luís Antônio - SP";3527603;"SP";13703;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";10000;"Prefeitura Municipal de Ibiassucê - BA";2912004;"BA";10337;"31/12/2018"
"765";"Prefeitura Municipal de Governador Newton Bello - MA";2104651;"MA";9921;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";500;"Prefeitura Municipal de Ibiquera - BA";2912608;"BA";4207;"31/12/2018"
"766";"Prefeitura Municipal de Mirandiba - PE";2609303;"PE";15185;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";500;"Prefeitura Municipal de Ibiquera - BA";2912608;"BA";4207;"31/12/2018"
"767";"Prefeitura Municipal de Felício dos Santos - MG";3125408;"MG";5012;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";500;"Prefeitura Municipal de Ibiquera - BA";2912608;"BA";4207;"31/12/2018"
"768";"Prefeitura Municipal de Serra - ES";3205002;"ES";494109;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";500;"Prefeitura Municipal de Ibiquera - BA";2912608;"BA";4207;"31/12/2018"
"769";"Prefeitura Municipal de Angatuba - SP";3502200;"SP";24400;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";500;"Prefeitura Municipal de Ibiquera - BA";2912608;"BA";4207;"31/12/2018"
"770";"Prefeitura Municipal de Quintana - SP";3542008;"SP";6484;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";500;"Prefeitura Municipal de Ibiquera - BA";2912608;"BA";4207;"31/12/2018"
"771";"Prefeitura Municipal de Derrubadas - RS";4306320;"RS";3102;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";500;"Prefeitura Municipal de Ibiquera - BA";2912608;"BA";4207;"31/12/2018"
"772";"Prefeitura Municipal de Goiana - PE";2606200;"PE";78940;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";4000;"Prefeitura Municipal de Luís Eduardo Magalhães - BA";2919553;"BA";81730;"31/12/2018"
"773";"Prefeitura Municipal de Cabreúva - SP";3508405;"SP";47210;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";4000;"Prefeitura Municipal de Luís Eduardo Magalhães - BA";2919553;"BA";81730;"31/12/2018"
"774";"Prefeitura Municipal de Itaporanga - SP";3522802;"SP";15140;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";4000;"Prefeitura Municipal de Luís Eduardo Magalhães - BA";2919553;"BA";81730;"31/12/2018"
"775";"Prefeitura Municipal de Magda - SP";3528304;"SP";3200;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";4000;"Prefeitura Municipal de Luís Eduardo Magalhães - BA";2919553;"BA";81730;"31/12/2018"
"776";"Prefeitura Municipal de Tapiraí - SP";3553500;"SP";8010;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";4000;"Prefeitura Municipal de Luís Eduardo Magalhães - BA";2919553;"BA";81730;"31/12/2018"
"777";"Prefeitura Municipal de Nova Santa Rita - RS";4313375;"RS";26086;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";12500;"Prefeitura Municipal de Macaúbas - BA";2919801;"BA";50637;"31/12/2018"
"778";"Prefeitura Municipal de Cássia dos Coqueiros - SP";3510906;"SP";2607;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";63750;"Prefeitura Municipal de Presidente Jânio Quadros - BA";2925709;"BA";13456;"31/12/2018"
"779";"Prefeitura Municipal de Leme - SP";3526704;"SP";100296;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";32000;"Prefeitura Municipal de São Gabriel - BA";2929255;"BA";19594;"31/12/2018"
"780";"Prefeitura Municipal de Aricanduva - MG";3104452;"MG";5156;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";3000;"Prefeitura Municipal de Tucano - BA";2931905;"BA";52381;"31/12/2018"
"781";"Prefeitura Municipal de Garça - SP";3516705;"SP";44557;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";3000;"Prefeitura Municipal de Tucano - BA";2931905;"BA";52381;"31/12/2018"
"782";"Prefeitura Municipal de Pontalinda - SP";3540259;"SP";4476;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";3000;"Prefeitura Municipal de Tucano - BA";2931905;"BA";52381;"31/12/2018"
"783";"Prefeitura Municipal de Vista Alegre do Alto - SP";3556909;"SP";8171;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";3000;"Prefeitura Municipal de Tucano - BA";2931905;"BA";52381;"31/12/2018"
"784";"Prefeitura Municipal de Campina Grande do Sul - PR";4104006;"PR";42547;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";3000;"Prefeitura Municipal de Tucano - BA";2931905;"BA";52381;"31/12/2018"
"785";"Prefeitura Municipal de Silva Jardim - RJ";3305604;"RJ";21279;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";22000;"Prefeitura Municipal de Valença - BA";2932903;"BA";98053;"31/12/2018"
"786";"Prefeitura Municipal de Alto Alegre dos Parecis - RO";1100379;"RO";13993;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";8000;"Prefeitura Municipal de Água Boa - MG";3100609;"MG";14524;"31/12/2018"
"787";"Prefeitura Municipal de São Gonçalo do Rio Preto - MG";3125507;"MG";3205;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";8000;"Prefeitura Municipal de Água Boa - MG";3100609;"MG";14524;"31/12/2018"
"788";"Prefeitura Municipal de Blumenau - SC";4202404;"SC";343715;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";1200;"Prefeitura Municipal de Cachoeira de Pajeú - MG";3102704;"MG";9479;"31/12/2018"
"789";"Prefeitura Municipal de Teófilo Otoni - MG";3168606;"MG";141502;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";-150;"Prefeitura Municipal de Araçuaí - MG";3103405;"MG";37317;"31/12/2018"
"790";"Prefeitura Municipal de Tucano - BA";2931905;"BA";52381;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";3000;"Prefeitura Municipal de Aricanduva - MG";3104452;"MG";5156;"31/12/2018"
"791";"Prefeitura Municipal de Garça - SP";3516705;"SP";44557;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";3000;"Prefeitura Municipal de Aricanduva - MG";3104452;"MG";5156;"31/12/2018"
"792";"Prefeitura Municipal de Pontalinda - SP";3540259;"SP";4476;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";3000;"Prefeitura Municipal de Aricanduva - MG";3104452;"MG";5156;"31/12/2018"
"793";"Prefeitura Municipal de Vista Alegre do Alto - SP";3556909;"SP";8171;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";3000;"Prefeitura Municipal de Aricanduva - MG";3104452;"MG";5156;"31/12/2018"
"794";"Prefeitura Municipal de Campina Grande do Sul - PR";4104006;"PR";42547;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";3000;"Prefeitura Municipal de Aricanduva - MG";3104452;"MG";5156;"31/12/2018"
"795";"Prefeitura Municipal de Ibiassucê - BA";2912004;"BA";10337;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";10000;"Prefeitura Municipal de Campo Azul - MG";3111150;"MG";3863;"31/12/2018"
"796";"Prefeitura Municipal de Gavião Peixoto - SP";3516853;"SP";4714;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";10000;"Prefeitura Municipal de Campo Azul - MG";3111150;"MG";3863;"31/12/2018"
"797";"Prefeitura Municipal de Luís Antônio - SP";3527603;"SP";13703;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";10000;"Prefeitura Municipal de Campo Azul - MG";3111150;"MG";3863;"31/12/2018"
"798";"Prefeitura Municipal de Timon - MA";2112209;"MA";166295;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";6000;"Prefeitura Municipal de Campo Belo - MG";3111200;"MG";54272;"31/12/2018"
"799";"Prefeitura Municipal de Urbano Santos - MA";2112605;"MA";32629;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";6000;"Prefeitura Municipal de Campo Belo - MG";3111200;"MG";54272;"31/12/2018"
"800";"Prefeitura Municipal de Floriano - PI";2203909;"PI";58892;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";6000;"Prefeitura Municipal de Campo Belo - MG";3111200;"MG";54272;"31/12/2018"
"801";"Prefeitura Municipal de Tumiritinga - MG";3169505;"MG";6705;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";2000;"Prefeitura Municipal de Capim Branco - MG";3112505;"MG";9609;"31/12/2018"
"802";"Prefeitura Municipal de Guatapará - SP";3518859;"SP";7496;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";2000;"Prefeitura Municipal de Capim Branco - MG";3112505;"MG";9609;"31/12/2018"
"803";"Prefeitura Municipal de Iacanga - SP";3519105;"SP";11206;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";2000;"Prefeitura Municipal de Capim Branco - MG";3112505;"MG";9609;"31/12/2018"
"804";"Prefeitura Municipal de Ibitinga - SP";3519600;"SP";58188;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";2000;"Prefeitura Municipal de Capim Branco - MG";3112505;"MG";9609;"31/12/2018"
"805";"Prefeitura Municipal de Rio Grande da Serra - SP";3544103;"SP";49408;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";2000;"Prefeitura Municipal de Capim Branco - MG";3112505;"MG";9609;"31/12/2018"
"806";"Prefeitura Municipal de Salto Veloso - SC";4215406;"SC";4616;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";2000;"Prefeitura Municipal de Capim Branco - MG";3112505;"MG";9609;"31/12/2018"
"807";"Prefeitura Municipal de Cruzeiro do Sul - RS";4306205;"RS";12215;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";2000;"Prefeitura Municipal de Capim Branco - MG";3112505;"MG";9609;"31/12/2018"
"808";"Prefeitura Municipal de Inhangapi - PA";1503408;"PA";11224;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";1500;"Prefeitura Municipal de Fama - MG";3125200;"MG";2426;"31/12/2018"
"809";"Prefeitura Municipal de Holambra - SP";3519055;"SP";13698;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";1500;"Prefeitura Municipal de Fama - MG";3125200;"MG";2426;"31/12/2018"
"810";"Prefeitura Municipal de Ituverava - SP";3524105;"SP";41206;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";1500;"Prefeitura Municipal de Fama - MG";3125200;"MG";2426;"31/12/2018"
"811";"Prefeitura Municipal de Oriente - SP";3534104;"SP";6473;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";1500;"Prefeitura Municipal de Fama - MG";3125200;"MG";2426;"31/12/2018"
"812";"Prefeitura Municipal de Passos Maia - SC";4212270;"SC";4279;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";1500;"Prefeitura Municipal de Fama - MG";3125200;"MG";2426;"31/12/2018"
"813";"Prefeitura Municipal de Matupá - MT";5105606;"MT";15654;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";1500;"Prefeitura Municipal de Fama - MG";3125200;"MG";2426;"31/12/2018"
"814";"Prefeitura Municipal de Governador Newton Bello - MA";2104651;"MA";9921;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";500;"Prefeitura Municipal de Felício dos Santos - MG";3125408;"MG";5012;"31/12/2018"
"815";"Prefeitura Municipal de Mirandiba - PE";2609303;"PE";15185;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";500;"Prefeitura Municipal de Felício dos Santos - MG";3125408;"MG";5012;"31/12/2018"
"816";"Prefeitura Municipal de Ibiquera - BA";2912608;"BA";4207;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";500;"Prefeitura Municipal de Felício dos Santos - MG";3125408;"MG";5012;"31/12/2018"
"817";"Prefeitura Municipal de Serra - ES";3205002;"ES";494109;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";500;"Prefeitura Municipal de Felício dos Santos - MG";3125408;"MG";5012;"31/12/2018"
"818";"Prefeitura Municipal de Angatuba - SP";3502200;"SP";24400;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";500;"Prefeitura Municipal de Felício dos Santos - MG";3125408;"MG";5012;"31/12/2018"
"819";"Prefeitura Municipal de Quintana - SP";3542008;"SP";6484;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";500;"Prefeitura Municipal de Felício dos Santos - MG";3125408;"MG";5012;"31/12/2018"
"820";"Prefeitura Municipal de Derrubadas - RS";4306320;"RS";3102;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";500;"Prefeitura Municipal de Felício dos Santos - MG";3125408;"MG";5012;"31/12/2018"
"821";"Prefeitura Municipal de Alto Alegre dos Parecis - RO";1100379;"RO";13993;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";8000;"Prefeitura Municipal de São Gonçalo do Rio Preto - MG";3125507;"MG";3205;"31/12/2018"
"822";"Prefeitura Municipal de Água Boa - MG";3100609;"MG";14524;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";8000;"Prefeitura Municipal de São Gonçalo do Rio Preto - MG";3125507;"MG";3205;"31/12/2018"
"823";"Prefeitura Municipal de Jambeiro - SP";3524907;"SP";6305;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";800;"Prefeitura Municipal de Itacarambi - MG";3132107;"MG";18443;"31/12/2018"
"824";"Prefeitura Municipal de Campo Bonito - PR";4104055;"PR";4162;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";800;"Prefeitura Municipal de Itacarambi - MG";3132107;"MG";18443;"31/12/2018"
"825";"Prefeitura Municipal de Erval Velho - SC";4205209;"SC";4472;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";800;"Prefeitura Municipal de Itacarambi - MG";3132107;"MG";18443;"31/12/2018"
"826";"Prefeitura Municipal de Jardinópolis - SC";4208955;"SC";1649;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";800;"Prefeitura Municipal de Itacarambi - MG";3132107;"MG";18443;"31/12/2018"
"827";"Prefeitura Municipal de São Carlos - SC";4216008;"SC";11038;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";16000;"Prefeitura Municipal de São João das Missões - MG";3162450;"MG";12862;"31/12/2018"
"828";"Prefeitura Municipal de Araçuaí - MG";3103405;"MG";37317;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";-150;"Prefeitura Municipal de Teófilo Otoni - MG";3168606;"MG";141502;"31/12/2018"
"829";"Prefeitura Municipal de Capim Branco - MG";3112505;"MG";9609;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";2000;"Prefeitura Municipal de Tumiritinga - MG";3169505;"MG";6705;"31/12/2018"
"830";"Prefeitura Municipal de Guatapará - SP";3518859;"SP";7496;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";2000;"Prefeitura Municipal de Tumiritinga - MG";3169505;"MG";6705;"31/12/2018"
"831";"Prefeitura Municipal de Iacanga - SP";3519105;"SP";11206;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";2000;"Prefeitura Municipal de Tumiritinga - MG";3169505;"MG";6705;"31/12/2018"
"832";"Prefeitura Municipal de Ibitinga - SP";3519600;"SP";58188;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";2000;"Prefeitura Municipal de Tumiritinga - MG";3169505;"MG";6705;"31/12/2018"
"833";"Prefeitura Municipal de Rio Grande da Serra - SP";3544103;"SP";49408;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";2000;"Prefeitura Municipal de Tumiritinga - MG";3169505;"MG";6705;"31/12/2018"
"834";"Prefeitura Municipal de Salto Veloso - SC";4215406;"SC";4616;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";2000;"Prefeitura Municipal de Tumiritinga - MG";3169505;"MG";6705;"31/12/2018"
"835";"Prefeitura Municipal de Cruzeiro do Sul - RS";4306205;"RS";12215;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";2000;"Prefeitura Municipal de Tumiritinga - MG";3169505;"MG";6705;"31/12/2018"
"836";"Prefeitura Municipal de Governador Newton Bello - MA";2104651;"MA";9921;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";500;"Prefeitura Municipal de Serra - ES";3205002;"ES";494109;"31/12/2018"
"837";"Prefeitura Municipal de Mirandiba - PE";2609303;"PE";15185;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";500;"Prefeitura Municipal de Serra - ES";3205002;"ES";494109;"31/12/2018"
"838";"Prefeitura Municipal de Ibiquera - BA";2912608;"BA";4207;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";500;"Prefeitura Municipal de Serra - ES";3205002;"ES";494109;"31/12/2018"
"839";"Prefeitura Municipal de Felício dos Santos - MG";3125408;"MG";5012;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";500;"Prefeitura Municipal de Serra - ES";3205002;"ES";494109;"31/12/2018"
"840";"Prefeitura Municipal de Angatuba - SP";3502200;"SP";24400;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";500;"Prefeitura Municipal de Serra - ES";3205002;"ES";494109;"31/12/2018"
"841";"Prefeitura Municipal de Quintana - SP";3542008;"SP";6484;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";500;"Prefeitura Municipal de Serra - ES";3205002;"ES";494109;"31/12/2018"
"842";"Prefeitura Municipal de Derrubadas - RS";4306320;"RS";3102;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";500;"Prefeitura Municipal de Serra - ES";3205002;"ES";494109;"31/12/2018"
"843";"Prefeitura Municipal de Miguelópolis - SP";3529708;"SP";21852;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";2650;"Prefeitura Municipal de Santa Maria Madalena - RJ";3304607;"RJ";10198;"31/12/2018"
"844";"Prefeitura Municipal de Valença - BA";2932903;"BA";98053;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";22000;"Prefeitura Municipal de Silva Jardim - RJ";3305604;"RJ";21279;"31/12/2018"
"845";"Prefeitura Municipal de Cururupu - MA";2103703;"MA";30805;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";400;"Prefeitura Municipal de Adolfo - SP";3500204;"SP";3616;"31/12/2018"
"846";"Prefeitura Municipal de Matão - SP";3529302;"SP";81878;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";3500;"Prefeitura Municipal de Américo Brasiliense - SP";3501707;"SP";39189;"31/12/2018"
"847";"Prefeitura Municipal de Araucária - PR";4101804;"PR";135459;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";3500;"Prefeitura Municipal de Américo Brasiliense - SP";3501707;"SP";39189;"31/12/2018"
"848";"Prefeitura Municipal de Governador Newton Bello - MA";2104651;"MA";9921;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";500;"Prefeitura Municipal de Angatuba - SP";3502200;"SP";24400;"31/12/2018"
"849";"Prefeitura Municipal de Mirandiba - PE";2609303;"PE";15185;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";500;"Prefeitura Municipal de Angatuba - SP";3502200;"SP";24400;"31/12/2018"
"850";"Prefeitura Municipal de Ibiquera - BA";2912608;"BA";4207;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";500;"Prefeitura Municipal de Angatuba - SP";3502200;"SP";24400;"31/12/2018"
"851";"Prefeitura Municipal de Felício dos Santos - MG";3125408;"MG";5012;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";500;"Prefeitura Municipal de Angatuba - SP";3502200;"SP";24400;"31/12/2018"
"852";"Prefeitura Municipal de Serra - ES";3205002;"ES";494109;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";500;"Prefeitura Municipal de Angatuba - SP";3502200;"SP";24400;"31/12/2018"
"853";"Prefeitura Municipal de Quintana - SP";3542008;"SP";6484;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";500;"Prefeitura Municipal de Angatuba - SP";3502200;"SP";24400;"31/12/2018"
"854";"Prefeitura Municipal de Derrubadas - RS";4306320;"RS";3102;"31/12/2018";"1.1.3.1.0.00.00 - Adiantamentos Concedidos a Pessoal e a Terceiros";500;"Prefeitura Municipal de Angatuba - SP";3502200;"SP";24400;"31/12/2018"
